序号,采集时间,采集内容,采集大小,采集时长,移动距离,行走速度,训练,重建用时,效率,重建占用,点云数量,成果大小,质量
46,251226 112757,光峰科技总部 4楼展馆,1.31g,2min33s,19.22m,0.18m/s,251230 094424,00:15:22,6.45,,636159,438M,2
47,251228 165543,深技大 新年晚会 迎春市集,12.4g,25min,900.42,0.65m/s,251230 103906,08:40:31,21.52,95.6g,13805768,12.1g,3
48,251228 172730,深技大 新年晚会 会堂后台,1.75g,3min20s,177.93m,0.96m/s,251230 204424,00:39:07,12.56,,1437246,,3
49,251228 211445,深技大 新年晚会 活动合照,806m,1min34s,50.66m,0.62m/s,251231 091105,00:19:46,13.97,5.40g,953657,,2
50,260102 152606,漫展AD05 黑色战国袍李斯 秦时明月,681m,1min15s,32.19m,0.50m/s,260105 150130,00:23:37,21.18,,1223972,0.97g,3
51,260102 152839,漫展AD05 汉服,720m,1min26s,27.88m,0.39m/s,260105 152556,00:17:37,13.74,,1178184,969m,2
52,260102 155010,漫展AD05 03,748m,1min31s,33.25m,,,,,,,,
53,260102 155357,漫展AD05 路人女主 加藤惠 Fall,88.5m,15s,0.00m,,,,,,,,
54,260102 155502,漫展AD05 路人女主 加藤惠2 Fall,814m,1min38s,37.71m,,,,,5.82g,,,
55,260102 160304,漫展AD05 魔道祖师 江厌离,965m,1min48s,40.87m,0.44m/s,260105 073218,00:27:07,16.62,,2523382,2.07g,4
56,260102 161229,漫展AD05 薇尔莉特 过曝,685m,1min16s,26.14m,,,,,,,,
57,260102 161509,漫展AD05 薇尔莉特,1.04g,2min6s,43.41m,0.40m/s,260104 220726,00:28:42,14.86,,1846804,1.49g,3
58,260102 161941,漫展AD05 公孙离 花间舞,1.03g,2min4s,47.60m,0.43m/s,260105 093449,00:28:45,15.01,10g,1570296,1.25g,3
59,260102 162440,漫展AD05 最终幻想 萨菲罗斯,1.10g,2min14s,57.24m,0.48m/s,260105 113011,00:32:56,15.95,10.7g,1841013,1.50g,3
60,260102 163416,漫展AD05 三角洲,1.46g,2min49s,76.20m,0.52m/s,260105 084853,00:41:11,15.55,13.8g,2769020,2.30g,5
61,260102 164217,漫展AD05 外场场景,3.08g,6min13s,405.81m,1.16m/s,260105 120715,01:31:05,15.57,27.4g,5595148,5.16g,4
62,260201 165752,漫展 AD05 芙丽莲,717m,1min20s,31.89m,0.48m/s,260105 140209,00:16:57,14.55,,1348091,1.08g,5
63,260107 161703,文交所,3.57g,6min59s,108.07m,,,,,25.4g,,,
64,260109 153109,广电1楼 1800演播厅,,56min13s,2075.53m,,,,,,,,
65,260118 145218,漫展 韭菜04 王者荣耀 小乔 纯白花嫁,678m,1min25s,23.74m,0.35m/s,260121 16:30:25,00:17:22,13.55,,1835533,1.45g,5
66,260118 145712,漫展 韭菜04 间谍过家家 约尔1,697m,1min28s,32.32m,0.44m/s,260123 095121,00:18:42,14.22,,1836408,1.45g,2
67,260118 150009,漫展 韭菜04 间谍过家家 约尔2,738m,1min32s,39.80m,0.50m/s,260123 111057,00:21:12,15.16,,1862683,1.47g,5
68,260118 150402,漫展 韭菜04 痛车,5.49g,11min4s,352.80m,0.56m/s,260120 181602,04:49:33,26.73,,8532313,7.33g,5
69,260118 152808,漫展 韭菜04 福瑞,935m,1min43s,44.04m,0.48m/s,260123 115658,00:21:06,13.48,,1402451,1.06g,3
70,260118 153546,漫展 韭菜04 日奈森亚梦,751m,1min20s,22.81m,0.37m/s,260123 124122,00:17:24,14.52,6.21g,1255179,958m,4
71,260118 155035,漫展 韭菜04 原神 散兵,891m,1min50s,34.83m,0.39m/s,260123 224850,00:27:00,16.21,7.95g,2090667,1.75g,2
72,260118 155718,漫展 韭菜04 赛博朋克：边缘行者 露西,913m,1min51s,31.20m,0.38m/s,260123 233303,00:30:39,18.04,10.1g,2213566,1.85g,1
73,260118 161109,漫展 韭菜04 假面骑士 build 创骑+ 极狐景和将军形态,1.01g,2min7s,51.69m,0.46m/s,260121 155801,00:29:23,14.95,,2322120,1.94g,3
74,260118 164325,漫展 韭菜04 王者荣耀 西施 织梦人,946m,1min52s,36.07m,0.39m/s,260123 162026,00:24:26,14.53,,1181466,948m,3
75,260118 180245,漫展 韭菜04 朵莉亚1,934m,1min49s,40.86m,0.43m/s,260123 165922,00:25:49,15.66,7.91g,1027004,834m,5
76,260118 181014,漫展 韭菜04 少司缘,1.04g,1min58s,33.77m,0.36m/s,260123 174116,00:25:56,14.42,,1229703,989m,3
77,260118 181326,漫展 韭菜04 朵莉亚2,1.19g,2min24s,29.81m,0.32m/s,260123 181805,00:28:19,12.88,,1190910,967m,4
78,260118 181757,漫展 韭菜04 栗山未来,967m,1min57s,37.60m,0.39m/s,260123 202011,00:23:45,13.33,8.77g,1498944,1.14g,5
79,260118 182644,漫展 韭菜04 史尔特尔,1.38g,2min38s,35.72m,0.33m/s,260121 132417,00:34:50,14.23,11.4g,1196081,975m,4
80,260118 183217,漫展 韭菜04 电锯人,1.18g,2min23s,31.08m,0.33m/s,260123 210934,00:29:55,13.61,10.5g,1246098,0.98g,5
81,260118 190306,漫展 韭菜04 小林家的龙女仆 托尔,1.15g,2min18s,35.70m,0.36m/s,260123 215525,00:31:12,14.75,10.2g,1422087,1.11g,4
82,260118 190943,漫展 韭菜04 ggc 高谷仓,9.80g,19min6s,768.15m,0.71m/s,260122 131814,05:15:43,17.24,89.3g,13934946,11.9g,5
83,260121 095314,大亚湾核电站 核电运营公司大堂,22.3g,,,,,,,,,,
84,260121 143455,大亚湾核电站 核电运营公司大堂室内,15.0g,,,,,,,,,,
